graph_id,edge_list
graph_10,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 12), (3, 6), (4, 12), (5, 7), (6, 9), (7, 8), (8, 11), (10, 13), (13, 14), (14, 15), (21, 22)"
graph_11,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (2, 3), (2, 5), (2, 6), (2, 13), (3, 4), (3, 7), (3, 14), (3, 17), (4, 6), (4, 20), (6, 7), (6, 13), (8, 9), (8, 10), (8, 12), (9, 12), (9, 13), (12, 13), (12, 15), (13, 17), (16, 17), (17, 23), (20, 21)"
graph_12,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (4, 9), (7, 9), (9, 10), (12, 13)"
graph_13,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 19), (1, 4), (1, 6), (1, 26), (2, 6), (3, 11), (3, 13), (4, 6), (4, 10), (5, 6), (5, 7), (5, 13), (6, 7), (6, 9), (7, 15), (8, 9), (9, 10), (11, 12), (11, 13), (11, 17), (12, 13)"
graph_14,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (1, 4), (1, 10), (7, 8), (7, 9), (8, 9), (8, 13), (10, 12), (14, 15)"
graph_15,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (7, 8), (8, 9)"
graph_16,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (2, 6), (4, 6), (5, 9), (6, 8), (6, 9), (7, 8), (7, 13), (8, 9)"
graph_17,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (2, 5), (4, 14), (5, 6), (7, 8), (8, 9)"
graph_18,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (1, 5), (2, 5), (2, 6), (5, 6), (7, 8), (7, 9), (7, 13), (9, 10), (11, 12), (13, 15), (19, 20)"
graph_19,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (1, 7), (2, 9), (3, 5), (3, 11), (5, 6), (5, 7), (6, 8), (7, 8), (8, 9), (8, 10), (8, 13), (15, 16), (16, 17)"
graph_20,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 4), (2, 6), (8, 9)"
graph_21,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 25), (2, 4), (2, 5), (2, 10), (4, 6), (4, 10), (5, 6), (5, 8), (7, 8), (8, 9), (8, 10), (8, 15), (9, 10), (10, 11), (10, 13), (11, 12), (12, 13), (14, 15), (16, 18)"
graph_22,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (1, 6), (1, 7), (1, 12), (1, 16), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (6, 8), (7, 8), (7, 9)"
graph_23,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 5), (2, 6), (3, 4), (5, 6), (6, 14), (7, 8), (8, 9), (10, 13), (16, 23), (19, 22)"
graph_24,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 16), (0, 17), (0, 19), (1, 3), (1, 4), (1, 14), (1, 15), (2, 6), (4, 9), (5, 9), (6, 12), (7, 8), (7, 9), (7, 25), (8, 9), (8, 11), (8, 12), (10, 11), (10, 13), (11, 13), (13, 17), (14, 15), (15, 25)"
graph_25,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 20), (2, 5), (3, 4), (4, 7), (6, 7), (7, 8), (8, 9), (10, 11), (12, 13)"
graph_26,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 5), (2, 3), (2, 4), (2, 5), (3, 5), (3, 20), (5, 6), (9, 10), (9, 12), (10, 11), (11, 14), (15, 16), (20, 21)"
graph_27,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 24), (1, 4), (1, 5), (2, 5), (2, 6), (2, 10), (2, 13), (3, 4), (3, 13), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (6, 8), (7, 8), (7, 19), (8, 9), (11, 15), (12, 13), (12, 15), (19, 24), (21, 22)"
graph_28,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (2, 5), (2, 6), (7, 8)"
graph_29,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (1, 4), (1, 5), (1, 6), (2, 3), (2, 9), (3, 4), (3, 6), (4, 6), (4, 8), (5, 10), (7, 8), (7, 9), (10, 11)"
graph_30,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 6), (1, 7), (2, 4), (3, 5), (3, 11), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (8, 9), (8, 12), (9, 10), (10, 13), (10, 17), (12, 15), (13, 15), (16, 18)"
graph_31,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 19), (0, 21), (1, 4), (1, 5), (1, 6), (2, 6), (2, 13), (5, 7), (6, 7), (6, 10), (7, 9), (7, 14), (8, 9), (8, 10), (10, 12), (10, 13), (14, 15), (17, 18), (17, 20), (23, 24)"
graph_32,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (7, 8), (8, 9)"
graph_33,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 20), (1, 6), (2, 5), (3, 5), (4, 5), (4, 6), (6, 10), (9, 11), (12, 14), (13, 17)"
graph_34,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 4), (1, 7), (2, 17), (3, 4), (3, 6), (6, 8), (7, 8), (10, 12), (10, 14), (11, 12)"
graph_35,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (1, 4), (1, 5), (1, 6), (1, 12), (2, 5), (2, 9), (3, 4), (3, 14), (3, 24), (4, 6), (4, 10), (4, 18), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (7, 16), (8, 9), (8, 10), (8, 11), (8, 14), (9, 11), (9, 15), (10, 12), (10, 13), (13, 15), (13, 21), (15, 16), (21, 22)"
graph_36,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (1, 6), (5, 6), (7, 8)"
graph_37,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (2, 5), (7, 8)"
graph_38,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (1, 4), (2, 6), (7, 8), (8, 9), (15, 16)"
graph_39,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (1, 6), (5, 6), (7, 8), (8, 9)"
graph_40,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (0, 21), (1, 4), (1, 5), (2, 6), (3, 6), (4, 6), (5, 7), (6, 11), (7, 9), (7, 12), (7, 14), (8, 9), (8, 10), (8, 12), (9, 13), (12, 13), (13, 14), (17, 20)"
graph_41,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (1, 3), (1, 4), (1, 10), (2, 9), (2, 12), (3, 6), (5, 6), (5, 8), (5, 9), (6, 8), (7, 8), (9, 13), (11, 12), (18, 21)"
graph_42,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 19), (0, 20), (1, 4), (1, 5), (1, 11), (1, 14), (1, 16), (1, 18), (2, 4), (2, 6), (3, 4), (3, 14), (4, 5), (4, 7), (4, 15), (5, 7), (5, 16), (6, 10), (7, 8), (9, 11), (9, 13), (10, 11), (10, 13), (12, 17), (14, 16), (15, 16), (16, 17), (16, 18), (17, 19), (19, 23), (20, 21)"
graph_43,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 18), (1, 4), (1, 5), (1, 11), (2, 7), (2, 9), (3, 5), (3, 8), (3, 10), (4, 5), (5, 14), (6, 7), (6, 8), (6, 18), (7, 8), (7, 9), (7, 15), (8, 9), (8, 10), (8, 13), (9, 10), (9, 19), (11, 13), (12, 17), (13, 15), (14, 18)"
graph_44,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (7, 8), (8, 9)"
graph_45,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (7, 8), (8, 9)"
graph_46,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (2, 5), (7, 8), (8, 9)"
graph_47,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (6, 8), (7, 8)"
graph_48,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (2, 5), (3, 7), (4, 6), (5, 6), (6, 7)"
graph_49,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 22), (1, 4), (2, 5), (2, 6), (2, 9), (2, 10), (2, 12), (2, 16), (3, 9), (4, 18), (5, 7), (6, 8), (7, 21), (10, 13), (12, 13), (14, 15), (18, 19)"
graph_50,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 20), (1, 4), (1, 6), (2, 3), (2, 5), (2, 13), (3, 6), (4, 5), (5, 6), (6, 8), (6, 9), (8, 9), (8, 10), (12, 13), (16, 17)"
graph_51,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (2, 6), (7, 8)"
graph_52,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (1, 4), (1, 14), (2, 8), (3, 6), (3, 9), (4, 9), (6, 7), (6, 9), (7, 8), (8, 13), (10, 16), (12, 13), (15, 17), (17, 18)"
graph_53,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 20), (1, 4), (1, 8), (1, 10), (2, 3), (2, 5), (2, 9), (3, 4), (4, 10), (4, 14), (4, 21), (6, 8), (6, 10), (6, 14), (7, 27), (8, 11), (8, 14), (9, 11), (10, 13), (12, 14), (12, 17), (12, 24), (13, 15), (14, 16), (14, 21), (17, 19), (21, 22)"
graph_54,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (1, 4), (1, 17), (2, 5), (2, 14), (2, 21), (5, 6), (6, 8), (6, 12), (7, 8), (7, 9), (7, 13), (7, 19), (9, 10), (10, 13), (11, 12)"
graph_55,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 24), (1, 4), (1, 6), (1, 7), (3, 5), (3, 11), (4, 5), (5, 6), (7, 8), (7, 16), (10, 13), (11, 12), (11, 14)"
graph_56,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 22), (1, 4), (1, 10), (1, 12), (2, 5), (3, 6), (3, 7), (3, 17), (4, 6), (4, 7), (4, 9), (5, 6), (7, 8), (7, 11), (8, 9), (12, 13), (14, 15)"
graph_57,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 16), (0, 17), (0, 20), (0, 23), (1, 4), (1, 6), (2, 5), (2, 6), (2, 14), (2, 17), (2, 18), (3, 6), (4, 5), (4, 7), (5, 9), (7, 9), (7, 13), (8, 9), (8, 13), (9, 10), (10, 11), (10, 12), (10, 17), (11, 12), (12, 13), (12, 14), (13, 15), (14, 15), (14, 17), (17, 18)"
graph_58,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (1, 12), (2, 5), (2, 7), (2, 13), (2, 15), (2, 16), (3, 10), (4, 5), (4, 6), (4, 9), (4, 18), (5, 6), (5, 7), (5, 14), (6, 7), (6, 8), (6, 16), (8, 10), (8, 12), (8, 13), (9, 16), (10, 12), (10, 20), (11, 12), (12, 13), (14, 15), (14, 16), (14, 21), (16, 18), (16, 20), (16, 21), (17, 22), (26, 27)"
graph_59,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 19), (0, 21), (1, 4), (1, 5), (1, 9), (1, 12), (2, 3), (2, 6), (2, 17), (4, 9), (5, 6), (5, 9), (5, 16), (7, 8), (7, 10), (8, 9), (10, 11), (10, 13), (12, 13), (19, 20), (30, 31)"
graph_60,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 3), (1, 4), (2, 5), (5, 6), (5, 7), (5, 9)"
graph_61,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (6, 8), (7, 8), (7, 9), (10, 12)"
graph_62,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (1, 6), (2, 3), (2, 16), (3, 7), (3, 15), (4, 7), (5, 6), (6, 14), (11, 14), (11, 25), (14, 16)"
graph_63,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 20), (1, 4), (1, 6), (3, 7), (3, 13), (4, 5), (4, 6), (4, 13), (5, 9), (5, 16), (6, 7), (6, 8), (6, 9), (6, 27), (7, 9), (7, 14), (7, 20), (8, 10), (9, 10), (10, 13), (12, 15), (14, 21), (15, 16), (15, 20), (16, 17)"
graph_64,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 21), (1, 3), (1, 4), (1, 16), (2, 3), (2, 5), (3, 6), (3, 9), (6, 8), (7, 8), (10, 11), (12, 15), (14, 17)"
graph_65,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (2, 5), (7, 8)"
graph_66,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 20), (1, 4), (1, 6), (1, 7), (1, 9), (4, 6), (4, 7), (5, 7), (5, 9), (10, 11), (10, 13), (18, 20)"
graph_67,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (0, 28), (1, 4), (1, 12), (2, 3), (2, 5), (3, 4), (4, 5), (5, 9), (8, 10), (9, 14), (12, 15), (13, 15), (18, 19)"
graph_68,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (7, 8)"
graph_69,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (1, 4), (3, 4), (6, 8), (7, 8), (8, 9)"
graph_70,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 21), (1, 5), (3, 8), (7, 8), (7, 9), (8, 9), (10, 11), (10, 13), (15, 16)"
graph_71,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (2, 5), (3, 6), (5, 8), (6, 9), (10, 12), (11, 13), (16, 18)"
graph_72,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 6), (2, 6), (3, 4), (6, 8), (8, 9), (10, 13), (11, 12), (13, 16), (15, 16), (18, 19)"
